"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2005-2006.
Filiations entre les sites définies lors du toilettage du 03/08/2005 :
Site 06073 014 (id 1328) --> site 06073 014 (id 10566)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°014
id 1328","01/09/00
00:00","21/03/01
00:00","","2100","1450","","","","","","2","2","2","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Observation réalisée le 21-03-2001.  Cette avalanche est descendue 200 m plus bas que les altitudes répertoriées","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1328","01/09/97
00:00","09/04/98
00:00","","2100","1460","","","","","","4","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Date du constat : 09/04/1998.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1328","01/09/96
00:00","10/04/97
00:00","","2100","1700","","","","","","4","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Observation du 10.04.97.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1328","01/09/95
00:00","18/04/96
00:00","","2100","1600","","","","","","4","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Observation du 18 avril 96.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1328","06/01/94
00:00","09/01/94
00:00","","2100","1750","","","","","","4","2","2","2","2","2",">100","X","NE","","","X","","","","","X","X","","","","X","","","X","","","","","","",""
"Date du constat : 20/04/1994.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1328","01/09/81
00:00","07/04/82
00:00","","2050","1750","","","","","","4","3","2","2","2","2","0","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Date du constat : 07/04/1982.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Observation réalisée le 07/04/1982.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1328","01/09/79
00:00","07/04/80
00:00","","2050","1750","","","","","","4","3","2","2","2","2","0","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°014
id 1328","15/04/70
00:00","15/04/70
00:00","","2100","1800","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 1328","15/03/69
00:00","15/03/69
00:00","","2100","1600","","","","","","1","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 26/04/2069.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
