"0","1","2","3"
"Obs","alerte bd event","Date du constat : 18/03/2004.","Remarque : Départs ponctuels en 'rive droite' du ruisseau le plus au Nord du 'grand communal', coulée collectée par le lit du ruisseau plus bas.  Multitude de (12, 15) départs ponctuels entre
les sites 225 et 18 entre les altitudes 2100 et 1980, arrivées vers 1960 m."
"","visibilité","",""
"Dégâts ou lieux
atteints","cours d'eau","",""
"","routes","",""
"","forêt","",""
"","poteaux","",""
"","construction","",""
"","néant","",""
"Vic-
times","morts","",""
"","blessés","",""
"","néant","",""
"Causes","inconnue","",""
"","artificielle","",""
"","involontaire","",""
"","naturelle","",""
"Météo 4h
précédentes","brouillard","",""
"","nuages","",""
"","ciel clair","",""
"","vent fort","",""
"","pluie","",""
"","neige","",""
"Météo 3 jours
précédents","pluie","",""
"","redoux","",""
"","direction vent","",""
"","vent fort","",""
"","hauteur de neige","",""
"Caractéristiques","F - neige dépôt","",""
"","E - aérosol ?","",""
"","D - couloir / versant","",""
"","C - humidité départ","",""
"","B - sol visible ?","",""
"","A - type départ","",""
"Dépôt","hauteur (m)","",""
"","largeur (m)","",""
"","longeur (m)","",""
"Altitudes","zone plane","",""
"","versant opposé","",""
"","altitude arrivée","",""
"","altitude départ","",""
"Dates","date2","",""
"","date1","",""
"Site","numéro
id","",""
